id;source;sample_name;suite_by_autor;classification_peate92;classification_peate97;latitude;longitude;elevation;localization;SiO2_nr;TiO2_nr;Al2O3_nr;FeO_nr;Fe2O3_nr;FeOt_nr;Fe2O3t_nr;MnO_nr;MgO_nr;CaO_nr;Na2O_nr;K2O_nr;P2O5_nr;LOI_nr;total_nr;SiO2;TiO2;Al2O3;Fe2O3t;MnO;MgO;CaO;Na2O;K2O;P2O5;total;Ti/Y;Ti/Zr;Zr/Y;Sr/Y;Ba/Y;Ba;Rb;Sr;Y;Zr;Nb;Ni;Cr;Sc;Co;La;Ce;Nd;Sm;Eu;Tb;Yb;Lu;Hf;Ta;Th;U;Pb;V;Cu;Zn;Ga;Cs;87Sr/86Sr_m;87Sr/86Sr_r;143Nd/144Nd_m;143Nd/144Nd_r;206Pb/204Pb_m;206Pb/204Pb_r;207Pb/204Pb_m;207Pb/204Pb_r;208Pb/204Pb_m;208Pb/204Pb_r;Coluna1;Coluna2
;Peate. 1989;PAR27;;;;;;;south;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.0;;;5.03;11.44;10.16;325.0;26.0;366.0;32.0;161.0;14.0;68;194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Peate. 1996;CS585;;;;24º58'50''S;51º56'35''W;;south;;;;;;;;;;;;;;;0.0;51.32;1.32;14.08;13.43;0.21;6.0;10.64;2.37;0.47;0.16;100.0;223.76;64.19;3.49;5.06;6.11;214.0;11.0;177.0;35.0;122.0;7.0;66;453;;38;;;;;;;;;;;;;;330.0;140;86;19;;;;;;;;;;;;;
;Peate. 1996;CS615;;;;24º58'50''S;51º56'35''W;;south;;;;;;;;;;;;;;;0.0;51.92;1.27;14.09;12.93;0.19;5.89;10.28;2.38;0.9;0.15;100.0;243.06;64.4;3.77;5.0;6.35;197.0;30.0;155.0;31.0;117.0;7.0;67;507;;46;;;;;;;;;;;;;;322.0;126;81;18;;;;;;;;;;;;;
;Peate. 1996;CS651;;;;24º58'50''S;51º56'35''W;;south;;;;;;;;;;;;;;;0.0;51.76;1.63;13.36;15.09;0.23;5.09;9.01;2.94;0.7;0.19;100.0;254.49;64.04;3.97;4.47;4.39;167.0;26.0;170.0;38.0;151.0;7.0;40;199;;44;;;;;;;;;;;;;;373.0;161;99;19;;;;;;;;;;;;;
;Peate. 1996;CS657;;;;24º58'50''S;51º56'35''W;;south;;;;;;;;;;;;;;;0.0;50.33;1.4;14.03;14.17;0.21;5.9;10.6;2.51;0.67;0.18;100.0;286.42;76.2;3.76;6.14;7.48;217.0;20.0;178.0;29.0;109.0;7.2;47;51;;45;21.7;50.5;28.3;5.86;2.05;1.16;3.78;0.62;4.9;1.04;2.84;1.62;;314.0;146;88;21;;0.71;0.71;;;;;;;;;;
;Peate. 1996;CS702;;;;24º58'50''S;51º56'35''W;;south;;;;;;;;;;;;;;;0.0;50.31;1.48;13.69;14.64;0.23;5.71;10.24;2.77;0.76;0.17;100.0;274.4;69.69;3.94;5.41;4.91;157.0;23.0;173.0;32.0;126.0;6.1;47;167;;46;;;;;;;;;;;;;;371.0;150;102;21;;;;;;;;;;;;;
;Peate. 1996;CS804;;;;24º58'50''S;51º56'35''W;;south;;;;;;;;;;;;;;;0.0;51.97;1.9;13.11;15.6;0.22;4.48;8.66;2.59;1.21;0.26;100.0;281.82;64.79;4.35;5.48;7.88;315.0;40.0;219.0;40.0;174.0;11.0;38;84;;44;;;;;;;;;;;;;;421.0;156;115;22;;;;;;;;;;;;;
;Peate. 1996;CS843;;;;24º58'50''S;51º56'35''W;;south;;;;;;;;;;;;;;;0.0;53.23;1.3;14.05;12.75;0.18;5.32;9.12;2.63;1.23;0.19;100.0;265.96;55.49;4.79;7.48;11.28;327.0;44.0;217.0;29.0;139.0;8.0;40;179;; ;;;;;;;;;;;;;;276.0; ;83; ;;;;;;;;;;;;;
;Peate. 1996;CS900;;;;24º58'50''S;51º56'35''W;;south;;;;;;;;;;;;;;;0.0;54.37;1.36;13.93;12.17;0.19;5.02;8.75;2.66;1.37;0.18;100.0;252.15;54.15;4.66;6.88;11.41;365.0;49.0;220.0;32.0;149.0;11.5;39;42;; ;;;;;;;;;;;;;;295.0;123;92;20;;0.71;0.71;;;;;;;;;;
;Peate. 1996;CS930;;;;24º58'50''S;51º56'35''W;;south;;;;;;;;;;;;;;;0.0;53.86;1.58;13.66;13.39;0.2;4.5;8.34;2.86;1.36;0.25;100.0;253.36;50.67;5.0;7.35;10.68;395.0;34.0;272.0;37.0;185.0;16.9;29;37;;35;;;;;;;;;;;;;;317.0;128;98;18;;;;;;;;;;;;;
